id,age,education_years,income,health_score,gender
1,52,11,110700.0,91.0,
2,43,11,99900.0,91.0,Male
3,39,9,72700.0,82.0,Male
4,42,14,164400.0,88.0,Female
5,39,12,,85.0,Female
6,22,8,,85.0,Male
7,57,15,211400.0,,Male
8,61,16,379500.0,,Male
9,36,12,126700.0,92.0,Male
10,32,9,,,Male
11,56,14,129100.0,,Female
12,51,15,78100.0,78.0,Male
13,38,13,72900.0,89.0,Male
14,54,13,119900.0,80.0,Female
15,34,15,106400.0,82.0,Male
16,47,15,106700.0,92.0,Female
17,65,15,347800.0,,Male
18,28,12,78300.0,100.0,Female
19,63,13,178800.0,,Female
20,62,14,296500.0,68.0,Male
21,47,13,98400.0,,Female
22,41,16,,72.0,Male
23,47,11,86200.0,81.0,
24,23,11,57300.0,100.0,Female
25,42,13,,83.0,Female
26,33,12,56000.0,90.0,Male
27,22,13,31600.0,88.0,Male
28,21,10,38600.0,100.0,Female
29,24,13,150400.0,92.0,Female
30,63,14,285300.0,,Female
31,61,17,157700.0,90.0,Male
32,20,8,24100.0,94.0,Male
33,27,10,42300.0,100.0,Female
34,31,17,81000.0,96.0,Female
35,48,16,127300.0,,Male
36,47,12,88600.0,,Male
37,32,11,55500.0,90.0,Female
38,57,15,312100.0,,Female
39,60,18,211500.0,83.0,Female
40,28,13,90400.0,95.0,Male
41,20,9,,100.0,Female
42,31,15,,,Female
43,28,9,,81.0,Female
44,31,12,55900.0,,Male
45,23,14,55200.0,81.0,Male
46,36,10,34400.0,84.0,Female
47,38,15,87700.0,91.0,Male
48,58,18,210100.0,81.0,Male
49,33,10,81400.0,,Male
50,38,10,75000.0,82.0,Male
51,33,13,,,Female
52,52,13,151500.0,82.0,Male
53,63,17,290500.0,85.0,Male
54,47,19,284700.0,,Female
55,46,13,241900.0,79.0,Male
56,22,16,,,Female
57,52,14,127100.0,83.0,Female
58,25,14,90200.0,98.0,Male
59,51,10,143500.0,,Female
60,47,19,155900.0,99.0,Female
61,53,17,191600.0,,Female
62,32,12,79900.0,100.0,Male
63,31,9,29400.0,,
64,27,12,,97.0,Female
65,52,11,50700.0,,Female
66,49,19,271900.0,77.0,Female
67,42,10,104700.0,75.0,Female
68,29,11,,,Female
69,45,10,,72.0,Male
70,63,16,,90.0,Female
71,61,14,132900.0,,Female
72,23,10,,95.0,Female
73,46,14,100500.0,84.0,Male
74,27,11,,,Male
75,34,11,50700.0,92.0,Female
76,27,16,117700.0,91.0,Female
77,22,12,29100.0,100.0,Male
78,49,16,168700.0,77.0,Male
79,21,7,22600.0,,Female
80,52,14,129700.0,71.0,Female
81,55,12,82100.0,86.0,Female
82,45,17,107300.0,87.0,
83,30,13,69100.0,,
84,60,12,167800.0,79.0,Female
85,45,14,114100.0,75.0,Female
86,35,10,56400.0,,Male
87,65,13,221900.0,,Male
88,36,11,85000.0,,
89,52,15,171400.0,81.0,Male
90,50,17,164000.0,80.0,Male
91,56,15,119600.0,,Female
92,63,20,237000.0,,Male
93,54,13,134100.0,92.0,Female
94,34,12,,,Female
95,31,12,59900.0,93.0,Male
96,33,12,71400.0,100.0,Male
97,18,9,27700.0,90.0,Male
98,19,8,,,Female
99,31,8,57300.0,87.0,Male
100,63,13,275400.0,,Male
101,46,12,81700.0,69.0,
102,19,12,60600.0,82.0,Male
103,19,8,40300.0,77.0,Female
104,34,8,32900.0,88.0,Female
105,28,8,53300.0,,Female
106,36,15,103800.0,82.0,Male
107,25,13,67100.0,93.0,Female
108,30,15,,85.0,Male
109,60,20,224800.0,,Male
110,63,17,228000.0,,Female
111,37,14,88900.0,86.0,Male
112,24,16,71800.0,85.0,Female
113,64,15,239200.0,,Male
114,38,15,109900.0,81.0,Male
115,52,13,144700.0,,Male
116,58,14,166700.0,,Male
117,61,16,,,Male
118,19,12,39700.0,93.0,Female
119,18,13,42500.0,93.0,Female
120,48,12,82300.0,78.0,Male
121,39,14,,,Female
122,21,13,44600.0,95.0,Female
123,44,14,118600.0,86.0,Female
124,50,15,139400.0,97.0,Male
125,64,18,383300.0,88.0,Male
126,46,14,94200.0,88.0,Female
127,54,12,122500.0,72.0,Male
128,33,9,61000.0,,Male
129,47,16,146400.0,,Male
130,62,16,339000.0,,Female
131,62,14,258400.0,,Male
132,55,15,241600.0,78.0,Male
133,37,18,187000.0,100.0,Male
