id,age,household_size,education_years,commute_min,rent,savings,power_backup
1,63,3,16,18,57350.0,148000.0,Yes
2,30,7,14,30,40050.0,,Yes
3,23,4,12,48,15900.0,129000.0,Yes
4,53,2,15,34,43550.0,426000.0,Yes
5,39,3,12,31,21950.0,316000.0,
6,44,6,12,35,53000.0,219000.0,No
7,25,2,12,12,15850.0,,Yes
8,40,3,15,8,25900.0,442000.0,Yes
9,53,3,12,17,33600.0,814000.0,No
10,39,7,13,26,,196000.0,Yes
11,62,5,19,18,,912000.0,Yes
12,60,2,15,21,26600.0,335000.0,Yes
13,56,4,15,22,,469000.0,
14,66,3,17,36,43650.0,979000.0,Yes
15,57,4,16,52,31450.0,277000.0,Yes
16,30,4,12,12,,,No
17,64,3,15,41,,468000.0,No
18,53,2,17,30,,1118000.0,Yes
19,26,2,10,42,14400.0,67000.0,Yes
20,36,6,10,23,,118000.0,Yes
21,30,6,14,28,33350.0,106000.0,No
22,69,6,18,65,,924000.0,No
23,57,5,13,42,49100.0,332000.0,No
24,67,4,17,28,71400.0,467000.0,Yes
25,35,3,13,75,,210000.0,Yes
26,53,2,14,25,35450.0,1354000.0,No
27,51,2,14,42,,551000.0,No
28,58,4,19,56,,1098000.0,No
29,27,3,13,37,16750.0,55000.0,No
30,47,6,15,71,41850.0,629000.0,No
31,53,4,15,20,,743000.0,No
32,62,4,14,15,51050.0,479000.0,No
33,54,4,14,40,86050.0,547000.0,Yes
34,43,1,13,46,,856000.0,Yes
35,44,3,12,52,40550.0,237000.0,No
36,38,3,14,36,34150.0,121000.0,No
37,29,4,14,15,21300.0,215000.0,No
38,35,4,12,24,36000.0,,Yes
39,29,5,10,15,18500.0,,No
40,33,2,11,44,,140000.0,Yes
41,63,2,19,37,55600.0,416000.0,
42,47,1,13,35,34200.0,295000.0,Yes
43,26,4,9,54,29250.0,,No
44,43,6,10,42,,,Yes
45,35,1,12,13,19150.0,549000.0,No
46,54,3,17,13,41200.0,168000.0,Yes
47,62,2,18,30,,532000.0,Yes
48,22,4,12,38,29050.0,,Yes
