date,station,entries,exits,fare_collected
2025-01-01,Washermanpet,5256,5266,112482.9
2025-01-01,Chennai Central,20872,19481,489696.42
2025-01-01,Government Estate,3641,3907,79336.93
2025-01-01,Thousand Lights,7423,8139,159812.48
2025-01-01,Teynampet,8158,8283,260377.42
2025-01-01,Saidapet,8830,8305,280756.39
2025-01-01,Guindy,14540,14580,475425.93
2025-01-01,Alandur,17780,18323,782579.65
2025-01-01,Airport,11208,11860,501588.05
2025-01-01,Egmore,12895,13917,287670.61
2025-01-01,Nehru Park,5548,5555,129287.21
2025-01-01,CMBT,16103,17172,497124.99
2025-01-01,Koyambedu,10200,10612,320703.2
2025-01-01,Arumbakkam,6029,6315,188383.85
2025-01-01,Vadapalani,10827,11061,343672.71
2025-01-01,Ashok Nagar,6988,7550,304784.21
2025-01-01,Ekkattuthangal,4630,4765,218348.71
2025-01-01,St Thomas Mount,7086,6800,315537.48
2025-01-02,Washermanpet,5168,5188,114199.17
2025-01-02,Chennai Central,18531,19570,401257.24
2025-01-02,Government Estate,3975,3635,87259.04
2025-01-02,Thousand Lights,7981,6835,158673.35
2025-01-02,Teynampet,6867,6877,224314.81
2025-01-02,Saidapet,8860,9194,277620.53
2025-01-02,Guindy,11483,11729,350600.74
2025-01-02,Alandur,15213,16146,649045.15
2025-01-02,Airport,11191,11002,478396.17
2025-01-02,Egmore,11734,11958,270081.68
2025-01-02,Nehru Park,6093,5552,130074.59
2025-01-02,CMBT,15277,15213,472639.06
2025-01-02,Koyambedu,10204,9972,321094.14
2025-01-02,Arumbakkam,6627,6656,198192.49
2025-01-02,Vadapalani,9096,10025,290111.58
2025-01-02,Ashok Nagar,7474,7786,324829.01
2025-01-02,Ekkattuthangal,4488,4325,207098.07
2025-01-02,St Thomas Mount,6352,6302,284388.11
2025-01-03,Washermanpet,4180,4468,94257.13
2025-01-03,Chennai Central,22311,21905,493631.84
2025-01-03,Government Estate,3960,3568,90050.74
2025-01-03,Thousand Lights,8893,8555,197102.11
2025-01-03,Teynampet,6961,7266,217427.75
2025-01-03,Saidapet,8028,8292,248665.1
2025-01-03,Guindy,10927,10830,371871.5
2025-01-03,Alandur,18029,18148,796341.43
2025-01-03,Airport,10931,10801,467783.74
2025-01-03,Egmore,15258,15706,332929.87
2025-01-03,Nehru Park,4634,4476,102299.48
2025-01-03,CMBT,15703,15353,527556.17
2025-01-03,Koyambedu,9672,9722,314101.75
2025-01-03,Arumbakkam,6077,6434,194885.62
2025-01-03,Vadapalani,9063,8592,298938.9
2025-01-03,Ashok Nagar,5421,5478,229231.29
2025-01-03,Ekkattuthangal,5117,5575,223953.15
2025-01-03,St Thomas Mount,7245,7429,335896.79
2025-01-04,Washermanpet,3050,3055,66242.03
2025-01-04,Chennai Central,14621,15653,317280.06
2025-01-04,Government Estate,2906,3194,65948.92
2025-01-04,Thousand Lights,5132,4899,107269.49
2025-01-04,Teynampet,4670,4486,138394.32
2025-01-04,Saidapet,5642,6023,182237.59
2025-01-04,Guindy,7750,7415,243546.12
2025-01-04,Alandur,10649,10606,463457.1
2025-01-04,Airport,6614,6212,299629.3
2025-01-04,Egmore,7181,7776,150853.49
2025-01-04,Nehru Park,3184,2818,71426.4
2025-01-04,CMBT,10742,10276,332079.18
2025-01-04,Koyambedu,6835,6557,223589.58
2025-01-04,Arumbakkam,3773,3575,119428.89
2025-01-04,Vadapalani,7085,6864,224065.03
2025-01-04,Ashok Nagar,3940,3875,173982.64
2025-01-04,Ekkattuthangal,2744,2630,124056.83
2025-01-04,St Thomas Mount,3827,3852,164989.08
2025-01-05,Washermanpet,2735,2912,59209.85
2025-01-05,Chennai Central,14595,15649,325062.1
2025-01-05,Government Estate,2131,2127,47451.59
2025-01-05,Thousand Lights,4856,5042,108962.49
2025-01-05,Teynampet,4275,3868,140591.19
2025-01-05,Saidapet,5600,6209,169421.7
2025-01-05,Guindy,9118,8893,291847.01
2025-01-05,Alandur,11584,11963,505908.76
2025-01-05,Airport,6892,6824,312452.61
2025-01-05,Egmore,8909,9033,191981.62
2025-01-05,Nehru Park,3263,3119,72784.55
2025-01-05,CMBT,9576,9639,302040.26
2025-01-05,Koyambedu,6576,6138,213965.9
2025-01-05,Arumbakkam,3801,3920,123157.64
2025-01-05,Vadapalani,4966,5146,165529.02
2025-01-05,Ashok Nagar,4896,4817,222177.75
2025-01-05,Ekkattuthangal,2680,2684,117782.47
2025-01-05,St Thomas Mount,4459,4896,192888.73
2025-01-06,Washermanpet,4976,5195,109218.04
2025-01-06,Chennai Central,20778,21371,461468.16
2025-01-06,Government Estate,3920,4169,83699.57
2025-01-06,Thousand Lights,8317,8300,187476.55
2025-01-06,Teynampet,7963,7911,239219.85
2025-01-06,Saidapet,8095,8426,259210.61
2025-01-06,Guindy,12762,12150,398402.63
2025-01-06,Alandur,14766,13944,639585.87
2025-01-06,Airport,10892,11600,482936.28
2025-01-06,Egmore,14310,13806,320670.69
2025-01-06,Nehru Park,5644,5594,126196.63
2025-01-06,CMBT,14885,14886,495954.28
2025-01-06,Koyambedu,9963,9949,338681.49
2025-01-06,Arumbakkam,6487,6610,202166.3
2025-01-06,Vadapalani,10170,10382,306223.54
2025-01-06,Ashok Nagar,5951,6071,257119.13
2025-01-06,Ekkattuthangal,4600,4401,204601.17
2025-01-06,St Thomas Mount,5843,5875,255315.55
2025-01-07,Washermanpet,5715,5678,126068.65
2025-01-07,Chennai Central,24796,25028,541245.43
2025-01-07,Government Estate,3434,3480,70303.99
2025-01-07,Thousand Lights,8540,8940,186322.22
2025-01-07,Teynampet,7115,7241,225255.76
2025-01-07,Saidapet,8189,8443,264505.68
2025-01-07,Guindy,10525,10893,321651.06
2025-01-07,Alandur,15330,15298,688040.98
2025-01-07,Airport,11896,11602,510750.85
2025-01-07,Egmore,13551,13127,306682.22
2025-01-07,Nehru Park,5398,5167,118231.77
2025-01-07,CMBT,15105,15931,486061.72
2025-01-07,Koyambedu,9213,9506,295996.52
2025-01-07,Arumbakkam,5738,5579,181275.06
2025-01-07,Vadapalani,9796,9394,318400.88
2025-01-07,Ashok Nagar,6302,6327,285766.89
2025-01-07,Ekkattuthangal,4770,5170,213950.24
2025-01-07,St Thomas Mount,7164,7510,317368.64
2025-01-08,Washermanpet,5644,5719,122913.42
2025-01-08,Chennai Central,25711,26272,569779.22
2025-01-08,Government Estate,3556,3557,78472.83
2025-01-08,Thousand Lights,9091,9373,200438.57
2025-01-08,Teynampet,7851,7483,242859.33
2025-01-08,Saidapet,8434,9111,275344.26
2025-01-08,Guindy,13831,14392,454750.0
2025-01-08,Alandur,20632,21100,912722.41
2025-01-08,Airport,11076,11291,472089.01
2025-01-08,Egmore,15040,14574,338333.39
2025-01-08,Nehru Park,6423,6512,140545.23
2025-01-08,CMBT,13636,12947,426813.46
2025-01-08,Koyambedu,10169,10039,312101.49
2025-01-08,Arumbakkam,6391,6394,207791.31
2025-01-08,Vadapalani,7763,8118,246095.24
2025-01-08,Ashok Nagar,5947,5946,271849.51
2025-01-08,Ekkattuthangal,4673,4387,207357.01
2025-01-08,St Thomas Mount,6588,7114,284072.03
2025-01-09,Washermanpet,5134,4834,115463.88
2025-01-09,Chennai Central,24252,25508,534661.68
2025-01-09,Government Estate,4357,4636,94321.54
2025-01-09,Thousand Lights,7562,7653,165724.47
2025-01-09,Teynampet,8209,8099,266406.85
2025-01-09,Saidapet,9066,8873,295449.6
2025-01-09,Guindy,13335,13395,421384.73
2025-01-09,Alandur,16903,17290,765837.42
2025-01-09,Airport,11419,11751,508767.74
2025-01-09,Egmore,13966,14802,295341.34
2025-01-09,Nehru Park,6021,6008,127990.27
2025-01-09,CMBT,13677,12880,430812.34
2025-01-09,Koyambedu,12913,12188,439858.65
2025-01-09,Arumbakkam,5190,5144,162502.91
2025-01-09,Vadapalani,10610,11393,331698.31
2025-01-09,Ashok Nagar,7437,7023,323195.78
2025-01-09,Ekkattuthangal,3651,3561,152270.76
2025-01-09,St Thomas Mount,6679,6848,286532.57
2025-01-10,Washermanpet,4889,4669,106368.98
2025-01-10,Chennai Central,23147,22390,509364.74
2025-01-10,Government Estate,3668,3611,80480.81
2025-01-10,Thousand Lights,7868,8444,173214.63
2025-01-10,Teynampet,7270,7376,234811.03
2025-01-10,Saidapet,8106,7599,258220.34
2025-01-10,Guindy,14468,14423,480592.46
2025-01-10,Alandur,17698,19093,793362.55
2025-01-10,Airport,10981,11604,463645.28
2025-01-10,Egmore,14341,14628,302786.12
2025-01-10,Nehru Park,5649,5363,123952.73
2025-01-10,CMBT,14519,13793,466397.28
2025-01-10,Koyambedu,12188,11962,390010.08
2025-01-10,Arumbakkam,6042,5772,185081.49
2025-01-10,Vadapalani,11106,11098,353205.83
2025-01-10,Ashok Nagar,7371,6861,310468.98
2025-01-10,Ekkattuthangal,4363,4618,194285.96
2025-01-10,St Thomas Mount,7272,7379,308571.01
2025-01-11,Washermanpet,3467,3741,73635.39
2025-01-11,Chennai Central,12091,12471,276015.7
2025-01-11,Government Estate,2466,2633,52495.82
2025-01-11,Thousand Lights,5831,5603,132330.51
2025-01-11,Teynampet,5083,5313,158951.24
2025-01-11,Saidapet,5784,6283,175384.81
2025-01-11,Guindy,9396,9298,321481.63
2025-01-11,Alandur,11160,11706,508942.39
2025-01-11,Airport,6689,6970,284566.13
2025-01-11,Egmore,8339,8358,181748.52
2025-01-11,Nehru Park,3759,3660,81550.53
2025-01-11,CMBT,10730,11210,354442.4
2025-01-11,Koyambedu,6748,7236,223798.75
2025-01-11,Arumbakkam,3960,4300,133039.28
2025-01-11,Vadapalani,6140,6240,196279.0
2025-01-11,Ashok Nagar,4184,4189,187292.74
2025-01-11,Ekkattuthangal,2734,2648,115267.13
2025-01-11,St Thomas Mount,3587,3494,157809.89
2025-01-12,Washermanpet,3666,3792,80804.96
2025-01-12,Chennai Central,11977,12003,271550.61
2025-01-12,Government Estate,2386,2181,53279.14
2025-01-12,Thousand Lights,4598,4440,95224.54
2025-01-12,Teynampet,5259,5536,166758.14
2025-01-12,Saidapet,6016,5652,198592.23
2025-01-12,Guindy,7583,7517,241163.78
2025-01-12,Alandur,11722,11151,534036.63
2025-01-12,Airport,7695,7953,324396.82
